Film,Year,Award,HighestMS,MetaScore,HighestUS,UserScore
Fargo,1996,Nominee,No,85,No,87
Jerry Maguire,1996,Nominee,No,77,No,85
Secrets & Lies,1996,Nominee,Yes,91,Yes,83
Shine,1996,Nominee,No,87,Yes,83
The English Patient,1996,Winner,No,87,No,74
As Good as It Gets,1997,Nominee,No,67,No,86
The Full Monty,1997,Nominee,No,75,No,78
Good Will Hunting,1997,Nominee,No,70,Yes,87
L.A. Confidential,1997,Nominee,Yes,90,Yes,87
Titanic,1997,Winner,No,75,No,85
Elizabeth,1998,Nominee,No,75,No,75
Life Is Beautiful,1998,Nominee,No,59,No,77
Saving Private Ryan,1998,Nominee,Yes,91,Yes,89
The Thin Red Line,1998,Nominee,No,78,No,82
Shakespeare in Love,1998,Winner,No,87,No,72
The Cider House Rules,1999,Nominee,No,75,No,86
The Green Mile,1999,Nominee,No,61,No,82
The Insider,1999,Nominee,No,84,No,86
The Sixth Sense,1999,Nominee,No,64,Yes,88
American Beauty,1999,Winner,Yes,86,Yes,89
Chocolat,2000,Nominee,No,64,No,73
"Crouching Tiger, Hidden Dragon",2000,Nominee,Yes,93,No,81
Erin Brockovich,2000,Nominee,No,73,No,82
Traffic,2000,Nominee,No,86,No,88
Gladiator,2000,Winner,No,67,Yes,88
Gosford Park,2001,Nominee,No,90,No,74
In the Bedroom,2001,Nominee,No,86,No,74
The Lord of the Rings: The Fellowship of the Ring,2001,Nominee,Yes,92,Yes,91
Moulin Rouge!,2001,Nominee,No,66,No,85
A Beautiful Mind,2001,Winner,No,72,No,81
Gangs of New York,2002,Nominee,No,72,No,77
The Hours,2002,Nominee,No,80,No,87
The Lord of the Rings: The Two Towers,2002,Nominee,Yes,87,Yes,90
The Pianist,2002,Nominee,No,85,No,78
Chicago,2002,Winner,No,82,No,80
Lost in Translation,2003,Nominee,No,89,No,75
Master and Commander: The Far Side of the World,2003,Nominee,No,81,No,64
Mystic River,2003,Nominee,No,84,No,70
Seabiscuit,2003,Nominee,No,72,No,73
The Lord of the Rings: The Return of the King,2003,Winner,Yes,94,Yes,91
The Aviator,2004,Nominee,No,77,No,86
Finding Neverland,2004,Nominee,No,67,No,79
Ray,2004,Nominee,No,73,No,87
Sideways,2004,Nominee,Yes,94,Yes,71
Million Dollar Baby,2004,Winner,No,86,No,75
Brokeback Mountain,2005,Nominee,Yes,87,No,82
Capote,2005,Nominee,No,88,No,77
"Good Night, and Good Luck",2005,Nominee,No,80,No,73
Munich,2005,Nominee,No,74,No,80
Crash,2005,Winner,No,66,Yes,85
Babel,2006,Nominee,No,69,No,66
Letters from Iwo Jima,2006,Nominee,No,89,No,82
Little Miss Sunshine,2006,Nominee,No,80,No,75
The Queen,2006,Nominee,Yes,91,Yes,67
The Departed,2006,Winner,No,85,No,73
Atonement,2007,Nominee,No,85,No,79
Juno,2007,Nominee,No,81,No,83
Michael Clayton,2007,Nominee,No,82,No,77
There Will Be Blood,2007,Nominee,Yes,93,Yes,81
No Country for Old Men,2007,Winner,No,91,No,78
The Curious Case of Benjamin Button,2008,Nominee,No,70,No,74
Frost/Nixon,2008,Nominee,No,80,Yes,78
Milk,2008,Nominee,No,83,No,76
The Reader,2008,Nominee,No,58,Yes,73
Slumdog Millionaire,2008,Winner,Yes,84,Yes,78
Avatar,2009,Nominee,No,83,No,75
The Blind Side,2009,Nominee,No,53,No,74
District 9,2009,Nominee,No,81,No,81
An Education,2009,Nominee,No,85,No,78
Inglourious Basterds,2009,Nominee,No,69,No,78
Precious: Based on the Novel 'Push' by Sapphire,2009,Nominee,No,79,No,80
A Serious Man,2009,Nominee,No,79,No,68
Up,2009,Nominee,No,88,No,88
Up in the Air,2009,Nominee,No,83,No,74
The Hurt Locker,2009,Winner,Yes,95,No,73
127 Hours,2010,Nominee,No,82,No,81
Black Swan,2010,Nominee,No,79,No,81
The Fighter,2010,Nominee,No,79,No,81
Inception,2010,Nominee,No,74,No,88
The Kids Are All Right,2010,Nominee,No,86,No,72
The Social Network,2010,Nominee,Yes,95,Yes,82
Toy Story 3,2010,Nominee,No,92,No,89
True Grit,2010,Nominee,No,80,No,78
Winter's Bone,2010,Nominee,No,90,No,73
The King's Speech,2010,Winner,No,88,No,83
The Descendants,2011,Nominee,No,84,No,77
Extremely Loud & Incredibly Close,2011,Nominee,No,46,No,59
The Help,2011,Nominee,No,62,No,78
Hugo,2011,Nominee,No,83,No,77
Midnight in Paris,2011,Nominee,No,81,No,80
Moneyball,2011,Nominee,No,87,No,79
The Tree of Life,2011,Nominee,No,85,No,70
War Horse,2011,Nominee,No,72,No,67
The Artist,2011,Winner,Yes,89,Yes,81
Amour,2012,Nominee,No,94,No,81
Beasts of the Southern Wild,2012,Nominee,No,86,No,75
Django Unchained,2012,Nominee,No,81,No,86
Life of Pi,2012,Nominee,No,79,No,79
Lincoln,2012,Nominee,No,86,No,75
Les Misérables,2012,Nominee,No,63,No,75
Silver Linings Playbook,2012,Nominee,No,81,No,86
Zero Dark Thirty,2012,Nominee,Yes,95,Yes,69
Argo,2012,Winner,No,86,No,77
American Hustle,2013,Nominee,No,90,No,73
Captain Phillips,2013,Nominee,No,82,No,81
Dallas Buyers Club,2013,Nominee,No,79,No,81
Gravity,2013,Nominee,Yes,96,Yes,78
Her,2013,Nominee,No,91,No,86
Nebraska,2013,Nominee,No,87,No,80
Philomena,2013,Nominee,No,77,No,79
The Wolf of Wall Street,2013,Nominee,No,75,No,65
12 Years a Slave,2013,Winner,Yes,96,No,80
American Sniper,2014,Nominee,No,72,No,66
Boyhood,2014,Nominee,Yes,100,Yes,77
The Grand Budapest Hotel,2014,Nominee,No,88,No,84
The Imitation Game,2014,Nominee,No,73,No,81
Selma,2014,Nominee,No,88,No,72
The Theory of Everything,2014,Nominee,No,72,No,78
Whiplash,2014,Nominee,No,88,No,89
Birdman or (The Unexpected Virtue of Ignorance),2014,Winner,No,87,No,82
The Big Short,2015,Nominee,No,81,No,82
Bridge of Spies,2015,Nominee,No,81,No,76
Brooklyn,2015,Nominee,No,88,No,79
Mad Max: Fury Road,2015,Nominee,No,90,No,86
The Martian,2015,Nominee,No,80,No,80
The Revenant,2015,Nominee,No,76,No,80
Room,2015,Nominee,No,86,No,83
Spotlight,2015,Winner,Yes,93,No,81
Arrival,2016,Nominee,No,81,No,81
Fences,2016,Nominee,No,79,No,73
Hacksaw Ridge,2016,Nominee,No,71,No,83
Hell or High Water,2016,Nominee,No,88,No,81
Hidden Figures,2016,Nominee,No,74,No,74
La La Land,2016,Nominee,No,93,No,84
Lion,2016,Nominee,No,69,No,78
Manchester by the Sea,2016,Nominee,No,96,No,82
Moonlight,2016,Winner,Yes,99,No,72
Call Me by Your Name,2017,Nominee,No,93,No,79
Darkest Hour,2017,Nominee,No,75,No,73
Dunkirk,2017,Nominee,Yes,94,Yes,83
Get Out,2017,Nominee,No,84,No,74
Lady Bird,2017,Nominee,Yes,94,Yes,76
Phantom Thread,2017,Nominee,No,90,No,76
The Post,2017,Nominee,No,83,No,70
"Three Billboards Outside Ebbing, Missouri",2017,Nominee,No,88,No,77
The Shape of Water,2017,Winner,No,87,No,70
Black Panther,2018,Nominee,No,88,No,64
BlacKkKlansman,2018,Nominee,No,83,No,74
Bohemian Rhapsody,2018,Nominee,No,49,No,77
The Favourite,2018,Nominee,No,90,No,78
Roma,2018,Nominee,Yes,96,Yes,80
A Star Is Born,2018,Nominee,No,88,No,84
Vice,2018,Nominee,No,61,No,65
Green Book,2018,Winner,No,69,No,79
1917,2019,Nominee,No,78,No,84
Ford v Ferrari,2019,Nominee,No,81,No,83
The Irishman,2019,Nominee,No,94,No,81
Jojo Rabbit,2019,Nominee,No,58,No,79
Joker,2019,Nominee,No,59,No,89
Little Women,2019,Nominee,No,91,No,75
Marriage Story,2019,Nominee,No,94,No,84
Once Upon a Time in Hollywood,2019,Nominee,No,84,No,75
Parasite,2019,Winner,Yes,96,No,87
The Father,2020,Nominee,No,88,No,86
Judas and the Black Messiah,2020,Nominee,No,85,No,74
Mank,2020,Nominee,No,79,No,63
Minari,2020,Nominee,No,89,No,80
Promising Young Woman,2020,Nominee,No,73,No,72
Sound of Metal,2020,Nominee,No,82,No,79
The Trial of the Chicago 7,2020,Nominee,No,76,No,75
Nomadland,2020,Winner,Yes,93,No,72
Belfast,2021,Nominee,No,75,No,65
Don't Look Up,2021,Nominee,No,49,No,65
Drive My Car,2021,Nominee,Yes,91,No,74
Dune,2021,Nominee,No,74,Yes,80
King Richard,2021,Nominee,No,76,No,68
Licorice Pizza,2021,Nominee,No,90,No,67
Nightmare Alley,2021,Nominee,No,70,No,71
The Power of the Dog,2021,Nominee,No,89,No,68
West Side Story,2021,Nominee,No,85,No,72
CODA,2021,Winner,No,74,No,79
